region_code,rcode_name,region_type,name,country_name
10,siruta,judeţ,alba,românia
29,siruta,judeţ,arad,românia
38,siruta,judeţ,argeş,românia
47,siruta,judeţ,bacãu,românia
56,siruta,judeţ,bihor,românia
65,siruta,judeţ,bistriţa-nãsãud,românia
74,siruta,judeţ,botoşani,românia
83,siruta,judeţ,braşov,românia
92,siruta,judeţ,brãila,românia
109,siruta,judeţ,buzãu,românia
118,siruta,judeţ,caraş-severin,românia
519,siruta,judeţ,cãlãraşi,românia
127,siruta,judeţ,cluj,românia
136,siruta,judeţ,constanţa,românia
145,siruta,judeţ,covasna,românia
154,siruta,judeţ,dâmboviţa,românia
163,siruta,judeţ,dolj,românia
172,siruta,judeţ,galaţi,românia
528,siruta,judeţ,giurgiu,românia
181,siruta,judeţ,gorj,românia
190,siruta,judeţ,harghita,românia
207,siruta,judeţ,hunedoara,românia
216,siruta,judeţ,ialomiţa,românia
225,siruta,judeţ,iaşi,românia
234,siruta,judeţ,ilfov,românia
243,siruta,judeţ,maramureş,românia
252,siruta,judeţ,mehedinţi,românia
261,siruta,judeţ,mureş,românia
270,siruta,judeţ,neamţ,românia
289,siruta,judeţ,olt,românia
298,siruta,judeţ,prahova,românia  
305,siruta,judeţ,satu mare,românia  
314,siruta,judeţ,sãlaj,românia      
323,siruta,judeţ,sibiu,românia      
332,siruta,judeţ,suceava,românia    
341,siruta,judeţ,teleorman,românia  
350,siruta,judeţ,timiş,românia      
369,siruta,judeţ,tulcea,românia     
378,siruta,judeţ,vaslui,românia     
387,siruta,judeţ,vâlcea,românia     
396,siruta,judeţ,vrancea,românia    
403,siruta,judeţ,bucureşti,românia  
